_id,id,active,name,college_score,score,college_id,university_id,university_tier,university_name,city,state,category,aishe_id,university_type,abbreviation[0],abbreviation[1],abbreviation[2],abbreviation[3],abbreviation[4],__v
6941079e1c87f81bf2f62879,91034,true,"Raj Krupa Institute of Nursing, Dahod",,,,,,SHRI GOVIND GURU UNIVERSITY,Dahod,Gujarat,College,C-60281,State Public University,raj krupa in dahod,,,,,0
6941079e1c87f81bf2f6287a,91035,true,"Rajju Shroff Rofel University, Valsad",,,,,,,Valsad,Gujarat,UNIVERSITIES,U-1268,State Private University,rsru,rajju shroff rofel university,,,,0
6941079e1c87f81bf2f6287b,91036,true,"Rajkot Homoeopathy Medical College, Rajkot",,,,,,PARUL UNIVERSITY,Rajkot,Gujarat,College,C-953,State Private University,rhmc rajkot,,,,,0
6941079e1c87f81bf2f6287c,91037,true,"Rajpur Kelavani Saanch Bed College Vijaynagar, Sabar Kantha",5.075,50.75,C21878,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-6631,State Public University,rkmsbc,,,,,0
6941079e1c87f81bf2f6287d,91038,true,"Rajvi Diploma In Fire & Safety College, Sabar Kantha",,,,,,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-66424,State Public University,rajvi dfs kodiyavada,,,,,0
6941079e1c87f81bf2f6287e,91039,true,"Rajvi Diploma In Health & Sanitary Inspector College, Sabar Kantha",,,,,,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-66426,State Public University,rajvi dhsi kodiyavada,,,,,0
6941079e1c87f81bf2f6287f,91040,true,"Rama Manubhai Desai College of Music And Dance Vallabh Vidyanagar, Anand",,,,,,"Sardar Patel University, Vallabh Vidyanagar",Anand,Gujarat,College,C-1221,State Public University,rmdcmd,,,,,0
6941079e1c87f81bf2f62880,91041,true,"Raman Bhakta School of Architecture, Surat",,,,,,UKA TARSADIA UNIVERSITY,Surat,Gujarat,College,C-52145,State Private University,rbsa surat,,,,,0
6941079e1c87f81bf2f62881,91042,true,"Ramanbhai Patel College of Pharmacy, Ahmedabad",,,,,,"Charotar University of Science & Technology,  Anand",Ahmedabad,Gujarat,PM Vidyalaxmi Institutes,C-16179,State Private University,rpcp,rpcp ahmedabad,,,,0
6941079e1c87f81bf2f62882,91043,true,"Ranchodbhai Harmanbhai Patel Institute of Nursing Education & Research Centre, Anand",,,,,,"Sardar Patel University, Vallabh Vidyanagar",Anand,Gujarat,College,C-67623,State Public University,rhp inerc anand,,,,,0
6941079e1c87f81bf2f62883,91044,true,"Raniba Arts College, Amreli",,,,,,"Saurashtra University, Rajkot",Amreli,Gujarat,College,C-68235,State Public University,raniba arts amreli,,,,,0
6941079e1c87f81bf2f62884,91045,true,"Rashtriya Raksha University Gujarat, Gandhinagar",,,,,,,Gandhinagar,Gujarat,PM Vidyalaxmi Institutes,U-0595,Institute of National Importance,rru,rru gujarat,,,,0
6941079e1c87f81bf2f62885,91046,true,"Rashtriya Shayar Jhaverchand Meghani Arts College, Surendranagar",,,,,,"Saurashtra University, Rajkot",Surendranagar,Gujarat,College,C-45279,State Public University,rsjm arts college,,,,,0
6941079e1c87f81bf2f62886,91047,true,"Ratanba College of Education Rajendranagar, Sabar Kantha",5.075,50.75,C21879,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-48513,State Public University,rce rajendranagar,,,,,0
6941079e1c87f81bf2f62887,91048,true,"Ratanba School of Nursing, Mahisagar",,,,,,,Mahisagar,Gujarat,STANDALONE,S-13978,,rsn,ratanba school,,,,0
6941079e1c87f81bf2f62888,91049,true,"Ratanma Institute of Nursing, Narmada",,,,,,"Veer Narmad South Gujarat University, Surat",Narmada,Gujarat,College,C-73890,State Public University,ratanma nursing narmada,,,,,0
6941079e1c87f81bf2f62889,91050,true,"Ratna Prabha Nursing Institute, Mahesana",,,,,,"Hemchandracharya North Gujart University, Patan",Mahesana,Gujarat,College,C-55923,State Public University,rpni mahesana,,,,,0
6941079e1c87f81bf2f6288a,91051,true,"Revaba Sarvajanik Education College, Mahesana",5.075,50.75,C21285,U167,Tier-3,"Hemchandracharya North Gujart University, Patan",Mahesana,Gujarat,College,C-6792,State Public University,rsec,,,,,0
6941079e1c87f81bf2f6288b,91052,true,"Riddhi Diploma In Health And Sanitary Inspector, Sabar Kantha",,,,,,"Hemchandracharya North Gujart University, Patan",Sabar Kantha,Gujarat,College,C-66676,State Public University,itc,,,,,0
6941079e1c87f81bf2f6288c,91053,true,"Riddhi Polytechnic In Animal Husbandry, Sabar Kantha",,,,,,,Sabar Kantha,Gujarat,STANDALONE,S-16965,,riddhi poly,rpah,,,,0
